Oly contig	SPID	SPID evalue	Gene Name
Ostrea_lur_contig1	P84175	8.00E-72	RS12_CHICK 40S ribosomal protein S12 OS=Gallus gallus GN=RPS12 PE=1 SV=2
Ostrea_lur_contig10	P47835	8.00E-58	RS32_XENLA 40S ribosomal protein S3-B OS=Xenopus laevis GN=rps3-B PE=2 SV=1
Ostrea_lur_contig10001	P56941	7.00E-32	NPC1_PIG Niemann-Pick C1 protein OS=Sus scrofa GN=NPC1 PE=2 SV=1
Ostrea_lur_contig10002	P43404	1.00E-47	ZAP70_MOUSE Tyrosine-protein kinase ZAP-70 OS=Mus musculus GN=Zap70 PE=1 SV=2
Ostrea_lur_contig10004	P11369	4.00E-08	POL2_MOUSE Retrovirus-related Pol polyprotein LINE-1 OS=Mus musculus GN=Pol PE=1 SV=2
Ostrea_lur_contig10005	Q3THF9	1.00E-68	"CQ10B_MOUSE Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Mus musculus GN=Coq10b PE=2 SV=1"
Ostrea_lur_contig10009	Q5I0S8	2.00E-68	ILEU_XENTR Leukocyte elastase inhibitor OS=Xenopus tropicalis GN=serpinb1 PE=2 SV=1
Ostrea_lur_contig10010	Q6P4Y1	2.00E-76	BANP_XENTR Protein BANP OS=Xenopus tropicalis GN=banp PE=2 SV=1
Ostrea_lur_contig10011	Q4R8G4	1.00E-85	CE037_MACFA Uncharacterized protein C5orf37 homolog OS=Macaca fascicularis GN=QtsA-12524 PE=2 SV=1
Ostrea_lur_contig10013	Q32Q06	6.00E-42	AP1M1_RAT AP-1 complex subunit mu-1 OS=Rattus norvegicus GN=Ap1m1 PE=1 SV=3
Ostrea_lur_contig10014	P35428	3.00E-16	HES1_MOUSE Transcription factor HES-1 OS=Mus musculus GN=Hes1 PE=1 SV=1
Ostrea_lur_contig10015	Q29RI0	2.00E-172	"ADCK3_BOVIN Chaperone activity of bc1 complex-like, mitochondrial OS=Bos taurus GN=CABC1 PE=2 SV=1"
Ostrea_lur_contig10016	Q8TBH0	5.00E-06	ARRD2_HUMAN Arrestin domain-containing protein 2 OS=Homo sapiens GN=ARRDC2 PE=2 SV=2
Ostrea_lur_contig10017	Q7ZYG4	2.00E-71	OSTF1_XENLA Osteoclast-stimulating factor 1 OS=Xenopus laevis GN=ostf1 PE=2 SV=1
Ostrea_lur_contig10025	Q9D4D4	8.00E-146	TKTL2_MOUSE Transketolase-like protein 2 OS=Mus musculus GN=Tktl2 PE=2 SV=1
Ostrea_lur_contig10026	Q90596	2.00E-25	MAFK_CHICK Transcription factor MafK OS=Gallus gallus GN=MAFK PE=1 SV=1
Ostrea_lur_contig10027	Q7ZY47	2.00E-67	DDX42_XENLA ATP-dependent RNA helicase DDX42 OS=Xenopus laevis GN=ddx42 PE=2 SV=1
Ostrea_lur_contig10028	Q5RBG4	1.00E-54	KAT5_PONAB Histone acetyltransferase KAT5 OS=Pongo abelii GN=KAT5 PE=2 SV=1
Ostrea_lur_contig10029	Q9UJT0	2.00E-70	TBE_HUMAN Tubulin epsilon chain OS=Homo sapiens GN=TUBE1 PE=2 SV=1
Ostrea_lur_contig10031	Q5R9F4	2.00E-61	RND3_PONAB Rho-related GTP-binding protein RhoE OS=Pongo abelii GN=RND3 PE=2 SV=1
Ostrea_lur_contig10036	Q96M69	1.00E-29	LRGUK_HUMAN Leucine-rich repeat and guanylate kinase domain-containing protein OS=Homo sapiens GN=LRGUK PE=1 SV=1
Ostrea_lur_contig10037	Q7ZWB7	1.00E-168	BBS5_DANRE Bardet-Biedl syndrome 5 protein homolog OS=Danio rerio GN=bbs5 PE=2 SV=1
Ostrea_lur_contig1004	Q9Z1A9	5.00E-18	TBCD8_MOUSE TBC1 domain family member 8 OS=Mus musculus GN=Tbc1d8 PE=2 SV=2
Ostrea_lur_contig10045	Q5VWX1	4.00E-54	"KHDR2_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Homo sapiens GN=KHDRBS2 PE=1 SV=1"
Ostrea_lur_contig10046	Q3AF06	7.00E-05	PRMA_CARHZ Ribosomal protein L11 methyltransferase OS=Carboxydothermus hydrogenoformans (strain Z-2901 / DSM 6008) GN=prmA PE=3 SV=1
Ostrea_lur_contig10048	P47897	1.00E-139	SYQ_HUMAN Glutaminyl-tRNA synthetase OS=Homo sapiens GN=QARS PE=1 SV=1
Ostrea_lur_contig10049	Q6ZVZ8	2.00E-05	ASB18_HUMAN Ankyrin repeat and SOCS box protein 18 OS=Homo sapiens GN=ASB18 PE=2 SV=2
Ostrea_lur_contig1005	Q9R0H0	4.00E-43	ACOX1_MOUSE Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=4
Ostrea_lur_contig10050	Q2KID9	3.00E-52	"RT05_BOVIN 28S ribosomal protein S5, mitochondrial OS=Bos taurus GN=MRPS5 PE=1 SV=1"
Ostrea_lur_contig10051	Q28462	2.00E-05	AMEL_MONDO Amelogenin OS=Monodelphis domestica GN=AMEL PE=1 SV=1
Ostrea_lur_contig10055	Q29504	0	UBA1_RABIT Ubiquitin-like modifier-activating enzyme 1 OS=Oryctolagus cuniculus GN=UBA1 PE=2 SV=1
Ostrea_lur_contig10057	Q9R095	7.00E-48	SPEF2_RAT Sperm flagellar protein 2 OS=Rattus norvegicus GN=Spef2 PE=2 SV=2
Ostrea_lur_contig10058	P50533	2.00E-106	SMC2_XENLA Structural maintenance of chromosomes protein 2 OS=Xenopus laevis GN=smc2 PE=1 SV=1
Ostrea_lur_contig10061	Q64623	7.00E-39	DUS1_RAT Dual specificity protein phosphatase 1 OS=Rattus norvegicus GN=Dusp1 PE=2 SV=1
Ostrea_lur_contig10062	Q9R0W9	7.00E-12	ACHA6_MOUSE Neuronal acetylcholine receptor subunit alpha-6 OS=Mus musculus GN=Chrna6 PE=2 SV=1
Ostrea_lur_contig10069	A8SMG2	4.00E-08	CE048_BOVIN Uncharacterized protein C5orf48 homolog OS=Bos taurus PE=2 SV=2
Ostrea_lur_contig1007	P51989	1.00E-63	RO21_XENLA Heterogeneous nuclear ribonucleoprotein A2 homolog 1 OS=Xenopus laevis PE=2 SV=1
Ostrea_lur_contig10070	Q01085	2.00E-88	TIAR_HUMAN Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1
Ostrea_lur_contig10071	Q54FZ4	7.00E-06	Y8927_DICDI Putative uncharacterized protein DDB_G0290521 OS=Dictyostelium discoideum GN=DDB_G0290521 PE=4 SV=1
